ID;Código;Descrição;Unidade;NCM;Origem;Preço;Valor IPI fixo;Observações;Situação;Estoque;Preço de custo;Cód. no fornecedor;Fornecedor;Localização;Estoque máximo;Estoque mínimo;Peso líquido (Kg);Peso bruto (Kg);GTIN/EAN;GTIN/EAN da Embalagem;Largura do produto;Altura do Produto;Profundidade do produto;Data Validade;Descrição do Produto no Fornecedor;Descrição Complementar;Itens p/ caixa;Produto Variação;Tipo Produção;Classe de enquadramento do IPI;Código na Lista de Serviços;Tipo do item;Grupo de Tags/Tags;Tributos;Código Pai;Código Integração;Grupo de produtos;Marca;CEST;Volumes;Descrição Curta;Cross-Docking;URL Imagens Externas;Link Externo;Meses Garantia no Fornecedor;Clonar dados do pai;Condição do Produto;Frete Grátis;Número FCI;Vídeo;Departamento;Unidade de Medida;Preço de Compra;Valor base ICMS ST para retenção;Valor ICMS ST para retenção;Valor ICMS próprio do substituto;Categoria do produto;Informações Adicionais
14990041687;BR1656	;GOTA QUARTZO FUMÊ, RAIOS C/DIAM 23/8;pc;7113.19.00;0;33320.00;0,00;23,8;Ativo;1,00;0,00;	02.2039.2.612;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;
14990140497;ANP1118	;GOTA TOP AZUL OU JADE RODEAD ZIRC - 0/8;pc;7113.11.00;0;248,00;0,00;0,8;Ativo;1,00;0,00;	2766;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;Anéis;
14990146491;BRP241	;GOTA TOP AZUL RODEADO ZIRC - 1/1;pc;7113.11.00;0;341,00;0,00;1,1;Ativo;1,00;0,00;	;ZERBINATTI JOIAS;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;Brincos;
14990141288;ANP206	;GOTA ZIRC RODEAD E LATER ZIRC - 1/0;pc;7113.11.00;0;310,00;0,00;1;Ativo;2,00;0,00;	3858;MADAME MORDÔ;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;Anéis;
14990054061;PG1384	;GOTA ZIRCON 0/5;pc;7113.19.00;0;700.00;0,00;0,5;Ativo;1,00;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;
14990041109;BR1545	;GOTA ZIRCON AMARELA 1/5;pc;7113.19.00;0;2100.00;0,00;1,5;Ativo;1,00;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;
14990151319;PGP052	;GOTA ZIRCON VERDE - 0/3;pc;7113.11.00;0;93,00;0,00;0,3;Ativo;1,00;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;Pendentes;
14990051567;PG0830	;GOTA ZIRCONIA 0/3;pc;7113.19.00;0;420.00;0,00;0,3;Ativo;1,00;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;
14990149532;COP128	;GRANADA 0/24;pc;7113.11.00;0;74,40;0,00;0,24;Ativo;1,00;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;Correntes;
14990053905;PG1382	;GRANADA GOTA 0/8;pc;7113.19.00;0;1120.00;0,00;0,8;Ativo;1,00;0,00;	;;	;0,00;0,00;0,000;0,000;	;	;0,00;0,00;0,00;;;;0,00;Produto;Própria;;;;;0,00;;0;;;28.058.00;0;;0;;;0;NÃO;NÃO ESPECIFICADO;NÃO;;;;Metros;0,00;0,0000;0,0000;0,0000;;
