"ID";"Código";"Descrição";"Unidade";"NCM";"Origem";"Preço";"Valor IPI fixo";"Observações";"Situação";"Estoque";"Preço de custo";"Cód. no fornecedor";"Fornecedor";"Localização";"Estoque máximo";"Estoque mínimo";"Peso líquido (Kg)";"Peso bruto (Kg)";"GTIN/EAN";"GTIN/EAN da Embalagem";"Largura do produto";"Altura do Produto";"Profundidade do produto";"Data Validade";"Descrição do Produto no Fornecedor";"Descrição Complementar";"Itens p/ caixa";"Produto Variação";"Tipo Produção";"Classe de enquadramento do IPI";"Código na Lista de Serviços";"Tipo do item";"Grupo de Tags/Tags";"Tributos";"Código Pai";"Código Integração";"Grupo de produtos";"Marca";"CEST";"Volumes";"Descrição Curta";"Cross-Docking";"URL Imagens Externas";"Link Externo";"Meses Garantia no Fornecedor";"Clonar dados do pai";"Condição do Produto";"Frete Grátis";"Número FCI";"Vídeo";"Departamento";"Unidade de Medida";"Preço de Compra";"Valor base ICMS ST para retenção";"Valor ICMS ST para retenção";"Valor ICMS próprio do substituto";"Categoria do produto";"Informações Adicionais"
"14990055685";"PG2415	";"SAO CRISTOVAO 1/1";"pc";"7113.19.00";"0";"1.375,00";"0,00";"1,1";"Ativo";"1,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Produto";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
"14990053526";"PG1282	";"SAO FRANCISCO ASSIS -1/5";"pc";"7113.19.00";"0";"1.875,00";"0,00";"1,5";"Ativo";"0,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Produto";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
"14990050791";"PG0620	";"SÃO FRANCISCO DE ASSIS - 3/2";"pc";"7113.19.00";"0";"4.000,00";"0,00";"3,2";"Ativo";"1,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Produto";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
"14990055218";"PG1683	";"SÃO JOÃO 1/3";"pc";"7113.19.00";"0";"1.625,00";"0,00";"1,3";"Ativo";"1,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Produto";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
"14990055512";"PG2294	";"SAO JORGE - 0/9";"pc";"7113.19.00";"0";"1.125,00";"0,00";"0,9";"Ativo";"0,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Produto";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"";""
"14990141260";"ANP197	";"SÃO JORGE - FOTO OU ANEL ANHO ROSÊ TODO C/ZIRC BAGUETES - 0/4";"pc";"7113.11.00";"0";"124,00";"0,00";"0,4";"Ativo";"2,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Variação";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"Anéis";""
"14990153516";"PGP508	";"SÃO JORGE 0/16";"pc";"7113.11.00";"0";"49,60";"0,00";"0,16";"Ativo";"1,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Produto";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"Pendentes";""
"14990153519";"PGP509	";"SÃO JORGE 0/16";"pc";"7113.11.00";"0";"49,60";"0,00";"0,16";"Ativo";"1,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Produto";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"Pendentes";""
"14990153489";"PGP502	";"SÃO JORGE 0/23";"pc";"7113.11.00";"0";"71,30";"0,00";"0,23";"Ativo";"1,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Produto";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"Pendentes";""
"14990153497";"PGP503	";"SÃO JORGE 0/23";"pc";"7113.11.00";"0";"71,30";"0,00";"0,23";"Ativo";"1,00";"0,00";"	";"";"	";"0,00";"0,00";"0,000";"0,000";"	";"	";"0,00";"0,00";"0,00";"";"";"";"0,00";"Produto";"Própria";"";"";"";"";"0,00";"";"0";"";"";"28.058.00";"0";"";"0";"";"";"0";"NÃO";"NÃO ESPECIFICADO";"NÃO";"";"";"";"Metros";"0,00";"0,0000";"0,0000";"0,0000";"Pendentes";""
